age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
794.572864,0.361010,0.282500,0.638990,0.717500,200
804.618090,0.357477,0.278208,0.642523,0.721792,200
814.663317,0.352588,0.272333,0.647412,0.727667,200
824.708543,0.349298,0.268417,0.650702,0.731583,200
834.753769,0.348212,0.267125,0.651788,0.732875,200
844.798995,0.347826,0.266667,0.652174,0.733333,200
854.844221,0.347826,0.266667,0.652174,0.733333,200
864.889447,0.347468,0.266250,0.652532,0.733750,200
874.934673,0.344637,0.262958,0.655363,0.737042,200
884.979899,0.341448,0.259250,0.658552,0.740750,200
895.025126,0.340695,0.258375,0.659305,0.741625,200
905.070352,0.340440,0.258083,0.659560,0.741917,200
915.115578,0.338571,0.255958,0.661429,0.744042,200
925.160804,0.334432,0.251250,0.665568,0.748750,200
935.206030,0.333407,0.250083,0.666593,0.749917,200
945.251256,0.333333,0.250000,0.666667,0.750000,200
955.296482,0.333333,0.250000,0.666667,0.750000,200
965.341709,0.333258,0.249917,0.666742,0.750083,200
975.386935,0.331498,0.247958,0.668502,0.752042,200
985.432161,0.326731,0.242667,0.673269,0.757333,200
995.477387,0.322969,0.238542,0.677031,0.761458,200
1005.522613,0.319405,0.234667,0.680595,0.765333,200
1015.567839,0.317122,0.232208,0.682878,0.767792,200
1025.613065,0.314773,0.229708,0.685227,0.770292,200
1035.658291,0.311950,0.226708,0.688050,0.773292,200
1045.703518,0.307054,0.221583,0.692946,0.778417,200
1055.748744,0.301047,0.215375,0.698953,0.784625,200
1065.793970,0.294028,0.208292,0.705972,0.791708,200
1075.839196,0.282770,0.197167,0.717230,0.802833,200
1085.884422,0.277453,0.192000,0.722547,0.808000,200
1095.929648,0.277151,0.191708,0.722849,0.808292,200
1105.974874,0.277108,0.191667,0.722892,0.808333,200
1116.020101,0.277108,0.191667,0.722892,0.808333,200
1126.065327,0.277108,0.191667,0.722892,0.808333,200
1136.110553,0.276932,0.191500,0.723068,0.808500,200
1146.155779,0.275742,0.190375,0.724258,0.809625,200
1156.201005,0.270695,0.185625,0.729305,0.814375,200
1166.246231,0.261515,0.177083,0.738485,0.822917,200
1176.291457,0.259259,0.175000,0.740741,0.825000,200
1186.336683,0.259259,0.175000,0.740741,0.825000,200
1196.381910,0.259321,0.175042,0.740679,0.824958,200
1206.427136,0.259321,0.175042,0.740679,0.824958,200
1216.472362,0.259321,0.175042,0.740679,0.824958,200
1226.517588,0.259228,0.174958,0.740772,0.825042,200
1236.562814,0.255988,0.172042,0.744012,0.827958,200
1246.608040,0.250634,0.167208,0.749366,0.832792,200
1256.653266,0.250188,0.166792,0.749812,0.833208,200
1266.698492,0.250188,0.166792,0.749812,0.833208,200
1276.743719,0.250188,0.166792,0.749812,0.833208,200
1286.788945,0.250453,0.166958,0.749547,0.833042,200
1296.834171,0.249850,0.166417,0.750150,0.833583,200
1306.879397,0.246687,0.163624,0.753313,0.836376,200
1316.924623,0.242182,0.159666,0.757818,0.840334,200
1326.969849,0.241198,0.158790,0.758802,0.841210,200
1337.015075,0.241081,0.158664,0.758919,0.841336,200
1347.060302,0.240644,0.158289,0.759356,0.841711,200
1357.105528,0.239594,0.157327,0.760406,0.842673,200
1367.150754,0.236894,0.154949,0.763106,0.845051,200
1377.195980,0.234841,0.153073,0.765159,0.846927,200
1387.241206,0.233378,0.151733,0.766622,0.848267,200
1397.286432,0.228461,0.147509,0.771539,0.852491,200
1407.331658,0.217451,0.138409,0.782549,0.861591,200
1417.376884,0.207699,0.130383,0.792301,0.869617,200
1427.422111,0.201557,0.125379,0.798443,0.874621,200
1437.467337,0.198333,0.122717,0.801667,0.877283,200
1447.512563,0.193296,0.118667,0.806704,0.881333,200
1457.557789,0.188237,0.114673,0.811763,0.885327,200
1467.603015,0.188769,0.114850,0.811231,0.885150,200
1477.648241,0.190298,0.115765,0.809702,0.884235,200
1487.693467,0.191587,0.116549,0.808413,0.883451,200
1497.738693,0.192954,0.117380,0.807046,0.882620,200
