param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
delta_min,Flat-surface floor (delta_min),0.05,*,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.08,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.1,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.15,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.02,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.05,*,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.08,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.1,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.15,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.02,,7A,"500, 1500",1,1483,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.05,*,7A,"500, 1500",1,1483,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.08,,7A,"500, 1500",1,1483,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.1,,7A,"500, 1500",1,1483,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.15,,7A,"500, 1500",1,1483,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.02,,7B,"500, 1500",1,1457,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.05,*,7B,"500, 1500",1,1457,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.08,,7B,"500, 1500",1,1457,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.1,,7B,"500, 1500",1,1457,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.15,,7B,"500, 1500",1,1457,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.02,,7C,"500, 1500",1,1473,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.05,*,7C,"500, 1500",1,1473,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.08,,7C,"500, 1500",1,1473,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.1,,7C,"500, 1500",1,1473,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.15,,7C,"500, 1500",1,1473,1,2,0,1500,
