param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
r_min,Minimum supporting runs (r_min),5,*,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),7,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),10,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),15,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),3,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),5,*,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),7,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),10,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),15,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),3,,7A,"500, 1500",1,1483,1,2,0,1500,
r_min,Minimum supporting runs (r_min),5,*,7A,"500, 1500",1,1483,1,2,0,1500,
r_min,Minimum supporting runs (r_min),7,,7A,"500, 1500",1,1483,1,2,0,1500,
r_min,Minimum supporting runs (r_min),10,,7A,"500, 1500",1,1483,1,2,0,1500,
r_min,Minimum supporting runs (r_min),15,,7A,"500, 1500",1,1483,1,2,0,1500,
r_min,Minimum supporting runs (r_min),3,,7B,"500, 1500",1,1457,1,2,0,1500,
r_min,Minimum supporting runs (r_min),5,*,7B,"500, 1500",1,1457,1,2,0,1500,
r_min,Minimum supporting runs (r_min),7,,7B,"500, 1500",1,1457,1,2,0,1500,
r_min,Minimum supporting runs (r_min),10,,7B,"500, 1500",1,1457,1,2,0,1500,
r_min,Minimum supporting runs (r_min),15,,7B,"500, 1500",1,1457,1,2,0,1500,
r_min,Minimum supporting runs (r_min),3,,7C,"500, 1500",1,1473,1,2,0,1500,
r_min,Minimum supporting runs (r_min),5,*,7C,"500, 1500",1,1473,1,2,0,1500,
r_min,Minimum supporting runs (r_min),7,,7C,"500, 1500",1,1473,1,2,0,1500,
r_min,Minimum supporting runs (r_min),10,,7C,"500, 1500",1,1473,1,2,0,1500,
r_min,Minimum supporting runs (r_min),15,,7C,"500, 1500",1,1473,1,2,0,1500,
