timestamp,case,tier,sample,step,elapsed_sec,status,note
2025-11-11 09:50:10+0800,1,a,1a,bootstrap_076,13.109,ok,
2025-11-11 09:50:22+0800,1,a,1a,bootstrap_077,12.383,ok,
2025-11-11 09:50:36+0800,1,a,1a,bootstrap_078,14.286,ok,
2025-11-11 09:50:51+0800,1,a,1a,bootstrap_079,14.3,ok,
2025-11-11 09:51:05+0800,1,a,1a,bootstrap_080,13.878,ok,
2025-11-11 09:51:05+0800,1,a,1a,progress,NA,ok,bootstrap 80/200
2025-11-11 09:51:19+0800,1,a,1a,bootstrap_081,14.815,ok,
2025-11-11 09:51:35+0800,1,a,1a,bootstrap_082,15.168,ok,
2025-11-11 09:51:50+0800,1,a,1a,bootstrap_083,15.446,ok,
2025-11-11 09:52:06+0800,1,a,1a,bootstrap_084,15.599,ok,
2025-11-11 09:52:20+0800,1,a,1a,bootstrap_085,14.767,ok,
2025-11-11 09:52:36+0800,1,a,1a,bootstrap_086,15.317,ok,
2025-11-11 09:52:51+0800,1,a,1a,bootstrap_087,15.391,ok,
2025-11-11 09:53:05+0800,1,a,1a,bootstrap_088,14.175,ok,
2025-11-11 09:53:19+0800,1,a,1a,bootstrap_089,13.452,ok,
2025-11-11 09:53:33+0800,1,a,1a,bootstrap_090,14.063,ok,
2025-11-11 09:53:33+0800,1,a,1a,progress,NA,ok,bootstrap 90/200
2025-11-11 09:53:47+0800,1,a,1a,bootstrap_091,14.246,ok,
2025-11-11 09:54:01+0800,1,a,1a,bootstrap_092,14.044,ok,
2025-11-11 09:54:15+0800,1,a,1a,bootstrap_093,13.711,ok,
2025-11-11 09:54:30+0800,1,a,1a,bootstrap_094,15.513,ok,
2025-11-11 09:54:45+0800,1,a,1a,bootstrap_095,14.823,ok,
2025-11-11 09:55:00+0800,1,a,1a,bootstrap_096,14.737,ok,
2025-11-11 09:55:15+0800,1,a,1a,bootstrap_097,15.186,ok,
2025-11-11 09:55:30+0800,1,a,1a,bootstrap_098,15.167,ok,
2025-11-11 09:55:46+0800,1,a,1a,bootstrap_099,16.211,ok,
2025-11-11 09:55:59+0800,1,a,1a,bootstrap_100,12.891,ok,
2025-11-11 09:55:59+0800,1,a,1a,progress,NA,ok,bootstrap 100/200
2025-11-11 09:56:12+0800,1,a,1a,bootstrap_101,12.419,ok,
2025-11-11 09:56:26+0800,1,a,1a,bootstrap_102,14.101,ok,
2025-11-11 09:56:39+0800,1,a,1a,bootstrap_103,13.298,ok,
2025-11-11 09:56:53+0800,1,a,1a,bootstrap_104,13.417,ok,
2025-11-11 09:57:07+0800,1,a,1a,bootstrap_105,14.061,ok,
2025-11-11 09:57:22+0800,1,a,1a,bootstrap_106,14.994,ok,
2025-11-11 09:57:37+0800,1,a,1a,bootstrap_107,15.856,ok,
2025-11-11 09:57:52+0800,1,a,1a,bootstrap_108,14.951,ok,
2025-11-11 09:58:07+0800,1,a,1a,bootstrap_109,14.642,ok,
2025-11-11 09:58:23+0800,1,a,1a,bootstrap_110,15.585,ok,
2025-11-11 09:58:23+0800,1,a,1a,progress,NA,ok,bootstrap 110/200
2025-11-11 09:58:36+0800,1,a,1a,bootstrap_111,12.97,ok,
2025-11-11 09:58:49+0800,1,a,1a,bootstrap_112,13.114,ok,
2025-11-11 09:59:02+0800,1,a,1a,bootstrap_113,13.355,ok,
2025-11-11 09:59:16+0800,1,a,1a,bootstrap_114,14.125,ok,
2025-11-11 09:59:30+0800,1,a,1a,bootstrap_115,14.238,ok,
2025-11-11 09:59:45+0800,1,a,1a,bootstrap_116,14.188,ok,
2025-11-11 09:59:58+0800,1,a,1a,bootstrap_117,13.399,ok,
2025-11-11 10:00:13+0800,1,a,1a,bootstrap_118,14.849,ok,
2025-11-11 10:00:27+0800,1,a,1a,bootstrap_119,14.596,ok,
2025-11-11 10:00:42+0800,1,a,1a,bootstrap_120,14.86,ok,
2025-11-11 10:00:42+0800,1,a,1a,progress,NA,ok,bootstrap 120/200
2025-11-11 10:00:58+0800,1,a,1a,bootstrap_121,15.202,ok,
2025-11-11 10:01:11+0800,1,a,1a,bootstrap_122,13.288,ok,
2025-11-11 10:01:24+0800,1,a,1a,bootstrap_123,13.577,ok,
2025-11-11 10:01:38+0800,1,a,1a,bootstrap_124,13.437,ok,
2025-11-11 10:01:51+0800,1,a,1a,bootstrap_125,12.962,ok,
2025-11-11 10:02:07+0800,1,a,1a,bootstrap_126,15.735,ok,
2025-11-11 10:02:22+0800,1,a,1a,bootstrap_127,15.36,ok,
2025-11-11 10:02:36+0800,1,a,1a,bootstrap_128,14.465,ok,
2025-11-11 10:02:51+0800,1,a,1a,bootstrap_129,14.595,ok,
2025-11-11 10:03:06+0800,1,a,1a,bootstrap_130,15.287,ok,
2025-11-11 10:03:06+0800,1,a,1a,progress,NA,ok,bootstrap 130/200
2025-11-11 10:03:23+0800,1,a,1a,bootstrap_131,16.844,ok,
2025-11-11 10:03:39+0800,1,a,1a,bootstrap_132,15.935,ok,
2025-11-11 10:03:52+0800,1,a,1a,bootstrap_133,13.05,ok,
2025-11-11 10:04:07+0800,1,a,1a,bootstrap_134,15.008,ok,
2025-11-11 10:04:22+0800,1,a,1a,bootstrap_135,14.792,ok,
2025-11-11 10:04:36+0800,1,a,1a,bootstrap_136,14.293,ok,
2025-11-11 10:04:50+0800,1,a,1a,bootstrap_137,13.952,ok,
2025-11-11 10:05:04+0800,1,a,1a,bootstrap_138,14.158,ok,
2025-11-11 10:05:19+0800,1,a,1a,bootstrap_139,14.489,ok,
2025-11-11 10:05:34+0800,1,a,1a,bootstrap_140,14.827,ok,
2025-11-11 10:05:34+0800,1,a,1a,progress,NA,ok,bootstrap 140/200
