sample_id,tectonic_unit,region,analysis_type,closure_temperature_band,analysis_event_dated,analysis_age_ma,analysis_uncertainty_ma,analysis_uncertainty_confidence_level,latitude,longitude,pb_loss_kind,source_reference
86686A,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,418.0,10.0,2sigma (estimated from analytical precision),-34.8167,116.6667,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
86685A,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,430.0,10.0,2sigma (estimated from analytical precision),-34.9722,116.6222,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
75497C,Pinjarra Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,438.0,10.0,2sigma (estimated from analytical precision),-33.8667,115.25,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
86689A,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,450.0,10.0,2sigma (estimated from analytical precision),-34.6556,116.7,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
86669,Yilgarn Craton,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,479.0,10.0,2sigma (estimated from analytical precision),-32.4889,116.3167,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
95123,Yilgarn Craton,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,486.0,10.0,2sigma (estimated from analytical precision),-32.4111,116.3,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
115692,Paterson Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,491.0,10.0,2 sigma,-22.665846,122.53654,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
PT06A-RbSr,Pinjarra Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,594.0,3.0,2sigma,-31.88232,116.14404,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT02-RbSr,Pinjarra Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,600.0,3.0,2sigma,-31.92105,116.06328,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
224218,Paterson Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,615.0,7.0,2 sigma,-20.626382,121.970798,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
224274,Paterson Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,619.0,5.0,2 sigma,-20.625352,121.967753,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
224224,Paterson Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,620.0,6.0,2 sigma,-20.626382,121.970798,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
247517,Paterson Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,633.0,6.0,2 sigma,-21.380916,122.26048,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
95129,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,841.0,10.0,2sigma (estimated from analytical precision),-34.75,117.1333,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
PT09A-RbSr,Yilgarn Craton (western margin),Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,853.0,4.0,2sigma,-31.7695,116.24071,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
95135B,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1006.0,11.0,2sigma (estimated from analytical precision),-34.9389,118.2056,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
95134A,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1025.0,11.0,2sigma (estimated from analytical precision),-34.8056,118.15,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
95126A,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1063.0,11.0,2sigma (estimated from analytical precision),-34.5389,117.0611,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
95131,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1070.0,11.0,2sigma (estimated from analytical precision),-35.0278,117.9167,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
95136,Albany-Fraser Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1129.0,11.0,2sigma (estimated from analytical precision),-34.6889,117.9222,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
225473,Madura Province,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1139.0,6.0,2 sigma,-33.826746,123.69619,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
PT12B-RbSr,Yilgarn Craton (western margin),Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1216.0,6.0,2sigma,-31.63055,116.27477,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT13A-RbSr,Yilgarn Craton (western margin),Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,1344.0,7.0,2sigma,-31.87002,116.34944,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
2006677183,Paterson Orogen,Western Australia,GA SHRIMP sample-group Baddeleyite,SHRIMP baddeleyite (magmatic),Magmatic crystallisation | ROCK_EVENT_1,824.0,33.0,95% confidence,-20.79798098,122.1928556,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
Sue 1 3073.2-3073.7,Pinjarra Orogen,Western Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Magmatic crystallisation; Isotopic resetting | ROCK_EVENT_2,680.0,110.0,95% confidence,-34.0646392,115.3192958,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
Sue 1 3073.2-3073.7,Pinjarra Orogen,Western Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Magmatic crystallisation; Isotopic resetting | ROCK_EVENT_1,1076.0,35.0,95% confidence,-34.0646392,115.3192958,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
